Sample in Buffer,Sample in Window,TRIGGER,u_top/u_uart/uart_baud[31:0],u_top/u_uart/uart_status[31:0],u_top/u_uart/tx_data[7:0],u_top/u_uart/uart_ctrl[31:0],u_top/u_uart/state[3:0],u_top/u_uart/uart_rx[31:0],u_top/u_uart_debug/mem_addr_o[31:0],u_top/u_uart_debug/state[13:0],u_top/u_uart_debug/mem_wdata_o[31:0],u_ila_0_m1_rdata[31:0],u_top/m0_rdata[31:0],u_top/m0_addr[31:0],u_top/m1_size[2:0],u_top/m1_addr[27:0],u_ila_0_m1_addr[31:28],u_top/m1_wdata[31:0],debug_en_r[7:0],timer_cnt[31:0],debug_en_w,u_ila_0_m1_rd,u_top/m1_we,u_top/u_uart_debug/mem_rd_o,u_top/u_uart_debug/mem_we_o,u_top/u_uart/rx_done,u_top/u_uart/rx_start
48,48,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863977,1,1,0,1,0,0,0
49,49,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863978,1,1,0,1,0,0,0
50,50,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863979,1,1,0,1,0,0,0
51,51,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863980,1,1,0,1,0,0,0
52,52,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863981,1,1,0,1,0,0,0
53,53,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863982,1,1,0,1,0,0,0
54,54,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863983,1,1,0,1,0,0,0
55,55,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863984,1,1,0,1,0,0,0
56,56,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863985,1,1,0,1,0,0,0
57,57,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863986,1,1,0,1,0,0,0
58,58,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863987,1,1,0,1,0,0,0
59,59,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863988,1,1,0,1,0,0,0
60,60,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863989,1,1,0,1,0,0,0
61,61,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863990,1,1,0,1,0,0,0
62,62,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863991,1,1,0,1,0,0,0
63,63,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863992,1,1,0,1,0,0,0
64,64,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863993,1,1,0,1,0,0,0
65,65,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863994,1,1,0,1,0,0,0
66,66,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863995,1,1,0,1,0,0,0
67,67,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863996,1,1,0,1,0,0,0
68,68,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863997,1,1,0,1,0,0,0
69,69,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863998,1,1,0,1,0,0,0
70,70,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18863999,1,1,0,1,0,0,0
71,71,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864000,1,1,0,1,0,0,0
72,72,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864001,1,1,0,1,0,0,0
73,73,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864002,1,1,0,1,0,0,0
74,74,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864003,1,1,0,1,0,0,0
75,75,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864004,1,1,0,1,0,0,0
76,76,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864005,1,1,0,1,0,0,0
77,77,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864006,1,1,0,1,0,0,0
78,78,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864007,1,1,0,1,0,0,0
79,79,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864008,1,1,0,1,0,0,0
80,80,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864009,1,1,0,1,0,0,0
81,81,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864010,1,1,0,1,0,0,0
82,82,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864011,1,1,0,1,0,0,0
83,83,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864012,1,1,0,1,0,0,0
84,84,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864013,1,1,0,1,0,0,0
85,85,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864014,1,1,0,1,0,0,0
86,86,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864015,1,1,0,1,0,0,0
87,87,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864016,1,1,0,1,0,0,0
88,88,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864017,1,1,0,1,0,0,0
89,89,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864018,1,1,0,1,0,0,0
90,90,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864019,1,1,0,1,0,0,0
91,91,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864020,1,1,0,1,0,0,0
92,92,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864021,1,1,0,1,0,0,0
93,93,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864022,1,1,0,1,0,0,0
94,94,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864023,1,1,0,1,0,0,0
95,95,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864024,1,1,0,1,0,0,0
96,96,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864025,1,1,0,1,0,0,0
97,97,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864026,1,1,0,1,0,0,0
98,98,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864027,1,1,0,1,0,0,0
99,99,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864028,1,1,0,1,0,0,0
100,100,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864029,1,1,0,1,0,0,0
101,101,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864030,1,1,0,1,0,0,0
102,102,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864031,1,1,0,1,0,0,0
103,103,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864032,1,1,0,1,0,0,0
104,104,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864033,1,1,0,1,0,0,0
105,105,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864034,1,1,0,1,0,0,0
106,106,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864035,1,1,0,1,0,0,0
107,107,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864036,1,1,0,1,0,0,0
108,108,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864037,1,1,0,1,0,0,0
109,109,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864038,1,1,0,1,0,0,0
110,110,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864039,1,1,0,1,0,0,0
111,111,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864040,1,1,0,1,0,0,0
112,112,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864041,1,1,0,1,0,0,0
113,113,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864042,1,1,0,1,0,0,0
114,114,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864043,1,1,0,1,0,0,0
115,115,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864044,1,1,0,1,0,0,0
116,116,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864045,1,1,0,1,0,0,0
117,117,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864046,1,1,0,1,0,0,0
118,118,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864047,1,1,0,1,0,0,0
119,119,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864048,1,1,0,1,0,0,0
120,120,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864049,1,1,0,1,0,0,0
121,121,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864050,1,1,0,1,0,0,0
122,122,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864051,1,1,0,1,0,0,0
123,123,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864052,1,1,0,1,0,0,0
124,124,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864053,1,1,0,1,0,0,0
125,125,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864054,1,1,0,1,0,0,0
126,126,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864055,1,1,0,1,0,0,0
127,127,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864056,1,1,0,1,0,0,0
128,128,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864057,1,1,0,1,0,0,0
129,129,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864058,1,1,0,1,0,0,0
130,130,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864059,1,1,0,1,0,0,0
131,131,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864060,1,1,0,1,0,0,0
132,132,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864061,1,1,0,1,0,0,0
133,133,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864062,1,1,0,1,0,0,0
134,134,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864063,1,1,0,1,0,0,0
135,135,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864064,1,1,0,1,0,0,0
136,136,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864065,1,1,0,1,0,0,0
137,137,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864066,1,1,0,1,0,0,0
138,138,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864067,1,1,0,1,0,0,0
139,139,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864068,1,1,0,1,0,0,0
140,140,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864069,1,1,0,1,0,0,0
141,141,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864070,1,1,0,1,0,0,0
142,142,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864071,1,1,0,1,0,0,0
143,143,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864072,1,1,0,1,0,0,0
144,144,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864073,1,1,0,1,0,0,0
145,145,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864074,1,1,0,1,0,0,0
146,146,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864075,1,1,0,1,0,0,0
147,147,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864076,1,1,0,1,0,0,0
148,148,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864077,1,1,0,1,0,0,0
149,149,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864078,1,1,0,1,0,0,0
150,150,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864079,1,1,0,1,0,0,0
151,151,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864080,1,1,0,1,0,0,0
152,152,0,000000ad,00000000,00,00000003,1,00000000,30000004,0010,00000000,00000000,00000000,90000000,4,0000004,3,00000000,ff,18864081,1,1,0,1,0,0,0
